epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,20379.6,0.83507,0.88481,0.55821,0.36675,0.17227,0.18212,0.09399,1.5304,1.55973,1.00816,0.004555,0.004555,0.004555
57,20725.1,0.82852,0.87578,0.55513,0.37145,0.17465,0.18545,0.09543,1.52333,1.55299,1.005,0.004456,0.004456,0.004456
58,21075.4,0.83492,0.87716,0.55823,0.37132,0.17751,0.18761,0.09646,1.51435,1.54812,1.00201,0.004357,0.004357,0.004357
59,21418.7,0.83275,0.86856,0.55693,0.37156,0.18117,0.19005,0.09796,1.50667,1.54149,0.99925,0.004258,0.004258,0.004258
60,21761.6,0.82077,0.8673,0.54897,0.37859,0.18299,0.19358,0.10028,1.49979,1.53296,0.99654,0.004159,0.004159,0.004159
61,22104.5,0.82812,0.85991,0.54917,0.38796,0.18623,0.1979,0.10322,1.49086,1.52478,0.99383,0.00406,0.00406,0.00406
62,22450.4,0.81405,0.8701,0.54718,0.39375,0.18756,0.20126,0.10548,1.48156,1.51646,0.99112,0.003961,0.003961,0.003961
63,22796.8,0.80997,0.85657,0.54593,0.39491,0.19133,0.20406,0.10765,1.47019,1.50724,0.98742,0.003862,0.003862,0.003862
64,23140.4,0.81172,0.84721,0.54658,0.39575,0.19194,0.20735,0.10976,1.46073,1.49991,0.98471,0.003763,0.003763,0.003763
65,23483.1,0.82592,0.87581,0.54835,0.40135,0.19347,0.20967,0.11096,1.44996,1.49241,0.98154,0.003664,0.003664,0.003664
66,23826.8,0.82149,0.87009,0.54668,0.40624,0.19419,0.21204,0.11188,1.43899,1.48713,0.97862,0.003565,0.003565,0.003565
67,24170.9,0.79517,0.83569,0.53657,0.40922,0.19848,0.21526,0.11406,1.43112,1.48364,0.9757,0.003466,0.003466,0.003466
68,24516.6,0.79219,0.82874,0.53562,0.41422,0.2011,0.21824,0.11576,1.42487,1.47801,0.9733,0.003367,0.003367,0.003367
69,24862.8,0.79061,0.84299,0.53649,0.41265,0.1999,0.22028,0.11691,1.41991,1.47083,0.97209,0.003268,0.003268,0.003268
70,25210.2,0.793,0.83732,0.53792,0.40993,0.2041,0.22267,0.11831,1.41567,1.4642,0.97021,0.003169,0.003169,0.003169
71,25557.2,0.80169,0.83859,0.53831,0.41364,0.20624,0.22609,0.11976,1.40915,1.45743,0.96678,0.00307,0.00307,0.00307
72,25903.4,0.78622,0.81115,0.53276,0.41247,0.20848,0.22903,0.12139,1.40388,1.44892,0.96452,0.002971,0.002971,0.002971
73,26250.1,0.781,0.80693,0.5296,0.41813,0.21063,0.23123,0.12282,1.40044,1.44209,0.96268,0.002872,0.002872,0.002872
74,26596.4,0.77954,0.82081,0.52963,0.42647,0.21349,0.23482,0.12459,1.3932,1.43322,0.96075,0.002773,0.002773,0.002773
75,26942.5,0.77286,0.80298,0.53012,0.42707,0.21777,0.23806,0.12679,1.3856,1.42582,0.95859,0.002674,0.002674,0.002674
76,27289.7,0.76079,0.78967,0.52021,0.43479,0.2192,0.2417,0.12798,1.38135,1.41904,0.95647,0.002575,0.002575,0.002575
77,27634,0.76546,0.79001,0.52095,0.44243,0.21988,0.24487,0.13003,1.37491,1.4145,0.95373,0.002476,0.002476,0.002476
78,27980.2,0.75597,0.78096,0.51859,0.4426,0.22111,0.24742,0.13145,1.36755,1.40693,0.95114,0.002377,0.002377,0.002377
79,28326.9,0.75414,0.77776,0.51567,0.43923,0.22278,0.24948,0.1327,1.3637,1.40138,0.94959,0.002278,0.002278,0.002278
80,28672.1,0.75042,0.77979,0.51731,0.44149,0.22676,0.25312,0.13462,1.35633,1.39454,0.94693,0.002179,0.002179,0.002179
81,29020,0.75385,0.7878,0.5144,0.45054,0.22731,0.2563,0.13673,1.35038,1.38745,0.94472,0.00208,0.00208,0.00208
82,29372.2,0.74297,0.7754,0.51304,0.44779,0.2304,0.25911,0.13825,1.34593,1.37822,0.9423,0.001981,0.001981,0.001981
83,29721.1,0.73654,0.75701,0.50995,0.44626,0.23493,0.2621,0.13984,1.34299,1.36726,0.94,0.001882,0.001882,0.001882
84,30070.7,0.72975,0.75508,0.50734,0.45309,0.24017,0.26566,0.14172,1.33822,1.35654,0.93851,0.001783,0.001783,0.001783
85,30420,0.72989,0.76003,0.50641,0.45534,0.24065,0.26896,0.14341,1.33346,1.34555,0.93691,0.001684,0.001684,0.001684
